GPR88
PPP1R9A
HPCA
PPP1R1B
ADCY5
PPP3CA
RASD2
CELF2
ST8SIA3
ARPP21
ARPP19
PENK
CADM2
AKAP5
FUT9
CALM2
PCP4L1
DGKB
UBB
BAIAP2
SCN4B
ACTB
SPOCK3
RGS9
BCL11B
SLC24A2
EIF1
CHCHD2
TTC3
ARPC2
NDUFA4
CKB
TMSB4X
PPIA
CYTB
ATP5G1
COX6B1
ATP2A2
GRIN2B
ND4
USMG5
CAMTA1
SYT11
COX7B
COX6A1
