"","gene","distance","Z","p.value","p.adj"
"6355","Slc24a2",0.000256403730818605,31.0181502629533,1.53431498428629e-211,1.24862553421218e-207
"297","Actb",0.000193012335111733,23.2518328984377,6.815373961943e-120,2.77317566511461e-116
"3011","Gpr88",0.000168256180993013,20.2188637159971,3.3402062042532e-91,9.06086603007085e-88
"570","App",0.000159441344390774,19.1389250617688,5.98572209036029e-82,1.2177951592838e-78
"5291","Ppp1r9a",0.000112588415040294,13.3987971668783,3.07255028345918e-41,5.00088284135816e-38
"3052","Grm5",0.000108934462992864,12.9511378131344,1.15748608673866e-38,1.5699369623132e-35
"3249","Hpca",0.000108244884214859,12.866654933745,3.46703409716763e-38,4.03067478325003e-35
"1306","Celf2",0.000107860423965793,12.8195532683693,6.37163039807598e-38,6.48154102244279e-35
"746","Atp2b2",0.000107261808614163,12.7462146591119,1.63626846822247e-37,1.47955031048828e-34
"5285","Ppp1r1b",0.000102629811275575,12.1787313128007,2.01754869994423e-34,1.64188113201461e-31
"335","Adcy5",9.19262408988674e-05,10.8673968082991,8.24185124824827e-28,6.09747140529495e-25
"7286","Tpm1",9.04723831245229e-05,10.6892792459309,5.71277025727168e-27,3.68364260141466e-24
"2693","Fut9",9.04499682986032e-05,10.6865331216372,5.88441310130137e-27,3.68364260141466e-24
"5308","Ppp3ca",8.19829270626484e-05,9.64920418064123,2.47693341822323e-22,1.43980601125005e-19
"4280","mt-Nd4",7.12233095905702e-05,8.33100313652243,4.00801034238859e-17,2.17447921109056e-14
"5653","Rasd2",6.9134470187398e-05,8.07509159604215,3.37130064119018e-16,1.71472778862535e-13
"6761","St8sia3",6.80553464216301e-05,7.94288410089093,9.87667508213895e-16,4.72802245990864e-13
"1073","Calm2",6.76047222076792e-05,7.88767644031408,1.53932355556956e-15,6.95945283068059e-13
"1086","Camk2n1",6.5014115317204e-05,7.57029148524595,1.86193854232609e-14,7.97497676707879e-12
"744","Atp2a2",6.40523080852879e-05,7.45245687814742,4.58089041047278e-14,1.86396430802137e-11
"4976","Penk",6.15245862169639e-05,7.14277620272253,4.5732239655863e-13,1.77223317294959e-10
"668","Arpp21",6.11822539853239e-05,7.10083579858135,6.20023204331495e-13,2.29352219856805e-10
"667","Arpp19",6.05497232039498e-05,7.02334208297219,1.08311481044106e-12,3.83234275103014e-10
"486","Ank3",6.0459269437026e-05,7.012260253129,1.17249237174939e-12,3.9757262172069e-10
"2821","Glg1",5.8961058290485e-05,6.82870879297664,4.28411493456769e-12,1.39456509350047e-09
"1066","Cadm2",5.88526402421217e-05,6.81542609171661,4.69923914409615e-12,1.47086185210209e-09
"2259","Elmod1",5.83202784224673e-05,6.7502044508601,7.38184831801708e-12,2.22494376340826e-09
"1423","Ckb",5.55735678023931e-05,6.41369464308394,7.10172830754654e-11,2.06406660595763e-08
"1386","Chn1",5.41189985812934e-05,6.23548991870851,2.25183178608583e-10,6.31910588798845e-08
"420","Akap5",5.28494020065503e-05,6.07994688618166,6.01111821960558e-10,1.63061600237167e-07
"5353","Prkca",5.23305170298323e-05,6.01637634384014,8.91823155221238e-10,2.34117962490014e-07
"2715","Gabbr1",5.05253569223251e-05,5.79521941658945,3.41159572103137e-09,8.67611436804789e-07
"4904","Pcp4l1",4.92052388463641e-05,5.63348680568505,8.83010174989582e-09,2.17755660729249e-06
"1083","Camk2b",4.84408733690883e-05,5.53984152760262,1.51372740582228e-08,3.62315106722991e-06
"584","Arf3",4.63806006741827e-05,5.28742980156852,6.20234703808457e-08,1.44213429131235e-05
"495","Ankrd12",4.61413587396227e-05,5.25811937591886,7.2768019318678e-08,1.64496150337611e-05
"1916","Dgkb",4.40140000317649e-05,4.99748869112076,2.90408718887673e-07,6.38742203866996e-05
"7510","Ubb",4.31884793466778e-05,4.89635105943009,4.88162917475741e-07,0.0001045439426952
"1743","Cyfip2",4.13033669695159e-05,4.6653988801073,1.54009471112194e-06,0.000315986463692043
"857","Baiap2",4.12892078212115e-05,4.66366418980561,1.55314064237917e-06,0.000315986463692043
"3543","Kcnq2",4.1124389632946e-05,4.6434716961203,1.71301472932256e-06,0.000340012533347
"6135","Scn4b",3.90601480547455e-05,4.39057372732552,5.65259872265424e-06,0.0010952582953562
"6663","Spock3",3.86827470121023e-05,4.34433691177378,6.98484900529063e-06,0.00132192328383849
"3033","Gria1",3.70460378750492e-05,4.14381754396344,1.70785771400467e-05,0.00315876047194773
"5767","Rgs9",3.61181660075411e-05,4.03014048548699,2.78717634876695e-05,0.00504045358361454
"6131","Scn2a1",3.60750088418355e-05,4.02485313944129,2.85054414594153e-05,0.00504298440427656
"3540","Kcnma1",3.54355369937647e-05,3.94650904774852,3.96494632696733e-05,0.00676353753405061
"906","Bcl11b",3.54235588429432e-05,3.9450415596189,3.98930697510972e-05,0.00676353753405061
"4531","Nexn",3.50681866775381e-05,3.90150358434205,4.77985229354246e-05,0.0079384567275201
"5289","Ppp1r7",3.40496290671101e-05,3.7767162757741,7.94547880669413e-05,0.0129320613057754
"1305","Celf1",3.34958845151757e-05,3.70887495628209,0.000104091100293604,0.0164740905689313
"4284","mt-Rnr2",3.34726812999222e-05,3.70603224345764,0.000105265754434066,0.0164740905689313
"3319","Ids",3.34245359504376e-05,3.70013377633047,0.000107742921992928,0.0165436207392159
"6076","Sacs",3.26384403241804e-05,3.60382625629097,0.000156783353518782,0.0236278320543676
"1050","Cacna2d1",3.25939301857163e-05,3.59837315248412,0.000160106981614177,0.0236900112068395
