"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Clu",0,3.44611822335231,0.802,0.227,0,"0","Clu"
"Sprr1a",0,2.80145154343503,0.635,0.059,0,"0","Sprr1a"
"S100a6",0,2.49926402770999,0.989,0.557,0,"0","S100a6"
"Krt19",0,2.34431290368386,0.948,0.177,0,"0","Krt19"
"Msln",0,2.12915774233126,0.801,0.053,0,"0","Msln"
"Gsto1",0,2.11517056104195,0.845,0.178,0,"0","Gsto1"
"Krt7",0,1.96783365499336,0.972,0.202,0,"0","Krt7"
"Gsta4",0,1.93666595745311,0.692,0.164,0,"0","Gsta4"
"Krt8",0,1.9008133948892,0.953,0.236,0,"0","Krt8"
"Krt18",0,1.89582909623517,0.932,0.254,0,"0","Krt18"
"Igfbp2",0,1.80919412545397,0.458,0.108,0,"0","Igfbp2"
"Fxyd3",0,1.76358792219445,0.911,0.101,0,"0","Fxyd3"
"Cystm1",0,1.72519266201396,0.989,0.357,0,"0","Cystm1"
"2200002D01Rik",0,1.71855430499963,0.968,0.186,0,"0","2200002D01Rik"
"Mal",0,1.63555207068207,0.82,0.16,0,"0","Mal"
"Lmo7",0,1.59154019577299,0.946,0.239,0,"0","Lmo7"
"Ndnf",0,1.54493222688338,0.798,0.11,0,"0","Ndnf"
"Aqp5",0,1.5387051404586,0.745,0.215,0,"0","Aqp5"
"S100a11",0,1.4620761104493,0.999,0.94,0,"0","S100a11"
"Tff2",0,1.45356202787096,0.421,0.011,0,"0","Tff2"
"Spp1",0,1.42051754758517,0.421,0.033,0,"0","Spp1"
"Anxa3",0,1.40780017537105,0.981,0.466,0,"0","Anxa3"
"Tspan8",0,1.40716395530562,0.926,0.262,0,"0","Tspan8"
"Anxa1",0,1.40632664509977,0.944,0.27,0,"0","Anxa1"
"Lurap1l",0,1.35311600967626,0.866,0.255,0,"0","Lurap1l"
"Cd24a",0,1.29014132072481,0.767,0.211,0,"0","Cd24a"
"Pdzk1ip1",0,1.279745390168,0.794,0.17,0,"0","Pdzk1ip1"
"Lgals3",0,1.27621658399589,0.924,0.192,0,"0","Lgals3"
"Akap5",0,1.26157272170304,0.633,0.087,0,"0","Akap5"
"Ccnd2",0,1.23753584490146,0.874,0.521,0,"0","Ccnd2"
"Bcam",0,1.23321238128064,0.959,0.45,0,"0","Bcam"
"Gprc5a",0,1.22513643123146,0.799,0.193,0,"0","Gprc5a"
"Cldn18",0,1.21954386633521,0.944,0.364,0,"0","Cldn18"
"Tmsb4x",0,1.20941818470188,1,1,0,"0","Tmsb4x"
"Igfbp7",0,1.20196569600798,0.984,0.769,0,"0","Igfbp7"
"Clic3",0,1.19157341501133,0.817,0.292,0,"0","Clic3"
"Emp2",0,1.19153396878331,0.97,0.622,0,"0","Emp2"
"Epcam",0,1.18728619092463,0.904,0.282,0,"0","Epcam"
"Pdpn",0,1.17039837779718,0.608,0.096,0,"0","Pdpn"
"Tff1",0,1.1554069032123,0.264,0.006,0,"0","Tff1"
"Ezr",0,1.14128315801208,0.937,0.377,0,"0","Ezr"
"Spint2",0,1.13123752928216,0.989,0.462,0,"0","Spint2"
"Tacstd2",0,1.10218899655104,0.778,0.061,0,"0","Tacstd2"
"Pdgfa",0,1.08322761625642,0.866,0.276,0,"0","Pdgfa"
"Cryab",0,1.07510401938723,0.944,0.455,0,"0","Cryab"
"Serpinb6b",0,1.07062865401087,0.865,0.269,0,"0","Serpinb6b"
"Tnfrsf12a",0,1.06869430829746,0.807,0.244,0,"0","Tnfrsf12a"
"Cdh1",0,1.0552380264435,0.866,0.235,0,"0","Cdh1"
"Sprr2a3",0,1.03422654340259,0.353,0.009,0,"0","Sprr2a3"
"Mal2",0,1.02230406280956,0.883,0.196,0,"0","Mal2"
"Arl4c",0,1.01068645419458,0.849,0.235,0,"0","Arl4c"
"Cd2ap",0,1.00978000277439,0.792,0.275,0,"0","Cd2ap"
"Col4a4",0,1.00863121842329,0.437,0.075,0,"0","Col4a4"
"F3",0,0.996896626887054,0.614,0.089,0,"0","F3"
"Cldn7",0,0.984338264844148,0.877,0.248,0,"0","Cldn7"
"Ano1",0,0.973939306420718,0.781,0.086,0,"0","Ano1"
"Spock2",0,0.968943050050217,0.475,0.043,0,"0","Spock2"
"Col4a3",0,0.966976152734158,0.374,0.056,0,"0","Col4a3"
"Rab25",0,0.950726917615867,0.82,0.167,0,"0","Rab25"
"Lamc2",0,0.944164140226412,0.733,0.092,0,"0","Lamc2"
"Atp1b1",0,0.932655402833658,0.887,0.371,0,"0","Atp1b1"
"Cd9",0,0.92985537531777,0.972,0.593,0,"0","Cd9"
"S100a14",0,0.924455621633882,0.651,0.078,0,"0","S100a14"
"Wfdc2",0,0.919003992691473,0.985,0.455,0,"0","Wfdc2"
"Bsg",0,0.896041858476603,0.992,0.892,0,"0","Bsg"
"Tinagl1",0,0.891767137280391,0.769,0.208,0,"0","Tinagl1"
"Sema3e",0,0.887815016049073,0.678,0.061,0,"0","Sema3e"
"Cdkn2b",0,0.886723046815207,0.623,0.071,0,"0","Cdkn2b"
"Icam1",0,0.885422834089124,0.669,0.24,0,"0","Icam1"
"Slc39a8",0,0.852635674373758,0.686,0.182,0,"0","Slc39a8"
"Fam174b",0,0.849902769544362,0.688,0.12,0,"0","Fam174b"
"Gipc2",0,0.849327331643812,0.738,0.074,0,"0","Gipc2"
"Lgals4",0,0.840212987021128,0.351,0.029,0,"0","Lgals4"
"Dag1",0,0.819598244279993,0.875,0.432,0,"0","Dag1"
"Foxq1",0,0.814133778820704,0.606,0.128,0,"0","Foxq1"
"Stard10",0,0.79209785844233,0.739,0.193,0,"0","Stard10"
"Neat1",0,0.791330626476982,0.89,0.444,0,"0","Neat1"
"Tspan15",0,0.788508468575121,0.75,0.192,0,"0","Tspan15"
"Ahnak",0,0.78433997818356,0.938,0.548,0,"0","Ahnak"
"Anxa8",0,0.783715464556245,0.61,0.041,0,"0","Anxa8"
"Dstn",0,0.783377580286084,0.992,0.86,0,"0","Dstn"
"Cxcl16",0,0.782486934611602,0.73,0.149,0,"0","Cxcl16"
"Agrn",0,0.77510288353247,0.768,0.215,0,"0","Agrn"
"Fxyd6",0,0.774632789822144,0.423,0.05,0,"0","Fxyd6"
"Scara3",0,0.771449601791761,0.517,0.052,0,"0","Scara3"
"Lsr",0,0.765629383524788,0.76,0.14,0,"0","Lsr"
"Mbip",0,0.760529620799706,0.854,0.296,0,"0","Mbip"
"Bag1",0,0.753001959770909,0.907,0.622,0,"0","Bag1"
"Klf5",0,0.746431340027959,0.678,0.108,0,"0","Klf5"
"Lamb3",0,0.742217172094995,0.726,0.132,0,"0","Lamb3"
"Itgb6",0,0.734777124004092,0.591,0.035,0,"0","Itgb6"
"Sorbs2",0,0.733952366789937,0.478,0.026,0,"0","Sorbs2"
"Crb3",0,0.73101218375415,0.819,0.215,0,"0","Crb3"
"Perp",0,0.72904937684162,0.666,0.082,0,"0","Perp"
"Rdh10",0,0.711205360444618,0.497,0.11,0,"0","Rdh10"
"Alcam",0,0.709744573380103,0.905,0.355,0,"0","Alcam"
"Tmem238",0,0.707570905827081,0.836,0.263,0,"0","Tmem238"
"Psca",0,0.705156740472878,0.312,0.005,0,"0","Psca"
"Actg1",0,0.704951037766659,0.997,0.964,0,"0","Actg1"
"Vamp8",0,0.704713196555981,0.984,0.752,0,"0","Vamp8"
"Myh14",0,0.704608501605859,0.768,0.191,0,"0","Myh14"
"Akr1b8",0,0.700063365654412,0.582,0.09,0,"0","Akr1b8"
"Nme1",0,0.693816169823976,0.89,0.526,0,"0","Nme1"
"Cldn4",0,0.693478357386768,0.5,0.046,0,"0","Cldn4"
"Plpp2",0,0.690021290327195,0.667,0.114,0,"0","Plpp2"
"Serpinb9",0,0.682987106863307,0.613,0.162,0,"0","Serpinb9"
"Pcbd1",0,0.68215745356886,0.723,0.176,0,"0","Pcbd1"
"Prr15l",0,0.680148566080746,0.745,0.201,0,"0","Prr15l"
"Muc1",0,0.679849010123512,0.749,0.323,0,"0","Muc1"
"Cgn",0,0.679103246542494,0.677,0.104,0,"0","Cgn"
"Il18",0,0.678569542627719,0.405,0.033,0,"0","Il18"
"Cxadr",0,0.655913132751338,0.706,0.126,0,"0","Cxadr"
"Rabgap1l",0,0.654382239518159,0.71,0.183,0,"0","Rabgap1l"
"Pgap2",0,0.652752736952089,0.763,0.212,0,"0","Pgap2"
"Hmgcs2",0,0.651213710609502,0.504,0.051,0,"0","Hmgcs2"
"Tes",0,0.650395547189402,0.69,0.139,0,"0","Tes"
"Actn4",0,0.649257242107814,0.855,0.479,0,"0","Actn4"
"Lama3",0,0.645330160705505,0.498,0.061,0,"0","Lama3"
"Plp2",0,0.642847110707617,0.866,0.399,0,"0","Plp2"
"Ppp3ca",0,0.642430176797931,0.909,0.5,0,"0","Ppp3ca"
"Elf3",0,0.641870754760568,0.525,0.075,0,"0","Elf3"
"Smim6",0,0.635015788237999,0.598,0.169,0,"0","Smim6"
"Gm20186",0,0.633089593193187,0.451,0.036,0,"0","Gm20186"
"Mgst3",0,0.632005774119312,0.815,0.342,0,"0","Mgst3"
"Ptp4a2",0,0.626740839941491,0.873,0.529,0,"0","Ptp4a2"
"Smim22",0,0.621220872255828,0.766,0.203,0,"0","Smim22"
"S100a10",0,0.611800570795007,0.954,0.73,0,"0","S100a10"
"AA986860",0,0.609070502751268,0.642,0.106,0,"0","AA986860"
"Cdc42ep5",0,0.608239865543754,0.669,0.19,0,"0","Cdc42ep5"
"Tmprss2",0,0.607255122569462,0.632,0.073,0,"0","Tmprss2"
"Paics",0,0.598445741086196,0.779,0.349,0,"0","Paics"
"Plet1",0,0.594312809723404,0.461,0.053,0,"0","Plet1"
"Anxa4",0,0.591764147620527,0.836,0.353,0,"0","Anxa4"
"Myof",0,0.581681971481512,0.679,0.177,0,"0","Myof"
"Rab27b",0,0.580269235913556,0.666,0.203,0,"0","Rab27b"
"Cdipt",0,0.578833715551907,0.756,0.284,0,"0","Cdipt"
"Wwc1",0,0.577796338927036,0.675,0.14,0,"0","Wwc1"
"Gpx4",0,0.576068035771738,0.988,0.881,0,"0","Gpx4"
"Rps27l",0,0.574638538282259,0.986,0.892,0,"0","Rps27l"
"Flrt3",0,0.573148530482419,0.447,0.066,0,"0","Flrt3"
"Mrpl14",0,0.572137353945507,0.913,0.56,0,"0","Mrpl14"
"Arhgef26",0,0.563443486714868,0.558,0.111,0,"0","Arhgef26"
"Lad1",0,0.563422602357188,0.509,0.019,0,"0","Lad1"
"Wls",0,0.562908686118303,0.878,0.476,0,"0","Wls"
"Spint1",0,0.559651609532546,0.595,0.094,0,"0","Spint1"
"Hdgf",0,0.557667385539713,0.942,0.651,0,"0","Hdgf"
"Krtcap3",0,0.556965683124162,0.647,0.112,0,"0","Krtcap3"
"Sfn",0,0.556765793981102,0.473,0.099,0,"0","Sfn"
"2310007B03Rik",0,0.550769754304933,0.462,0.055,0,"0","2310007B03Rik"
"Dsp",0,0.544800383521679,0.564,0.064,0,"0","Dsp"
"Eps8l2",0,0.536697202541658,0.571,0.064,0,"0","Eps8l2"
"Chka",0,0.53141774959733,0.744,0.286,0,"0","Chka"
"Ociad2",0,0.530182332087711,0.595,0.18,0,"0","Ociad2"
"Phgr1",0,0.528612840534032,0.373,0.017,0,"0","Phgr1"
"Lrrc26",0,0.527625787572491,0.409,0.013,0,"0","Lrrc26"
"Sh2d4a",0,0.527338488388194,0.596,0.082,0,"0","Sh2d4a"
"S100a1",0,0.525674947028541,0.856,0.421,0,"0","S100a1"
"Sptssb",0,0.525629941686402,0.328,0.016,0,"0","Sptssb"
"Gng5",0,0.522916429115599,0.998,0.958,0,"0","Gng5"
"Vsig2",0,0.521524733852882,0.567,0.155,0,"0","Vsig2"
"Myo1c",0,0.519787192988911,0.711,0.248,0,"0","Myo1c"
"Kcnj15",0,0.519225406913133,0.546,0.111,0,"0","Kcnj15"
"Ctnna1",0,0.515030228479437,0.895,0.53,0,"0","Ctnna1"
"Cttn",0,0.510691987392207,0.77,0.309,0,"0","Cttn"
"Dapk2",0,0.502314721485679,0.43,0.073,0,"0","Dapk2"
"Ctsh",0,0.495889376595635,0.93,0.434,0,"0","Ctsh"
"Hmgn1",0,0.49556381073092,0.978,0.844,0,"0","Hmgn1"
"Col4a5",0,0.493767711891597,0.529,0.107,0,"0","Col4a5"
"Ffar4",0,0.490803707605995,0.412,0.023,0,"0","Ffar4"
"Lama5",0,0.489910735934827,0.674,0.228,0,"0","Lama5"
"Adam10",0,0.489906732189546,0.699,0.238,0,"0","Adam10"
"Cdh13",0,0.485957139126196,0.481,0.044,0,"0","Cdh13"
"Tpd52",0,0.482864835305384,0.695,0.238,0,"0","Tpd52"
"Sdc1",0,0.482445764375777,0.871,0.387,0,"0","Sdc1"
"Tmc4",0,0.478600809918055,0.609,0.128,0,"0","Tmc4"
"Syt8",0,0.473486005394352,0.39,0.005,0,"0","Syt8"
"Pvrl2",0,0.472918283742029,0.706,0.246,0,"0","Pvrl2"
"Hbegf",0,0.47258578096379,0.603,0.175,0,"0","Hbegf"
"Timp2",0,0.472193071492468,0.908,0.533,0,"0","Timp2"
"Rab11fip1",0,0.471108221574615,0.518,0.086,0,"0","Rab11fip1"
"Cyp2s1",0,0.470760719515332,0.476,0.046,0,"0","Cyp2s1"
"Bex1",0,0.469847085237342,0.514,0.117,0,"0","Bex1"
"0610040J01Rik",0,0.469229729597554,0.508,0.071,0,"0","0610040J01Rik"
"Tnip3",0,0.464209371711768,0.312,0.013,0,"0","Tnip3"
"Serinc2",0,0.462001885817133,0.505,0.038,0,"0","Serinc2"
"Epb41l5",0,0.459481029144422,0.557,0.116,0,"0","Epb41l5"
"Cab39",0,0.457978415419644,0.712,0.286,0,"0","Cab39"
"Myrf",0,0.457185684532452,0.461,0.028,0,"0","Myrf"
"Cox6b1",0,0.456455116522325,0.987,0.92,0,"0","Cox6b1"
"Efemp1",0,0.456134385838771,0.512,0.075,0,"0","Efemp1"
"Gpx2",0,0.454915880200763,0.376,0.038,0,"0","Gpx2"
"Setd8",0,0.453860822347091,0.617,0.153,0,"0","Setd8"
"Itga3",0,0.451588190786395,0.526,0.093,0,"0","Itga3"
"Apobec3",0,0.451428629103702,0.639,0.186,0,"0","Apobec3"
"Syngr1",0,0.450479147604855,0.543,0.126,0,"0","Syngr1"
"Pcolce",0,0.448203540002858,0.697,0.255,0,"0","Pcolce"
"Gata6",0,0.445417566562396,0.647,0.171,0,"0","Gata6"
"Pla2g10",0,0.443689635745573,0.312,0.004,0,"0","Pla2g10"
"Arf3",0,0.442970505538734,0.713,0.282,0,"0","Arf3"
"Ctnnd1",0,0.44020123473558,0.726,0.302,0,"0","Ctnnd1"
"Pard6b",0,0.439758773152871,0.442,0.069,0,"0","Pard6b"
"Tuft1",0,0.437474061777475,0.466,0.051,0,"0","Tuft1"
"Atp8a1",0,0.435948431879055,0.731,0.299,0,"0","Atp8a1"
"Ctse",0,0.43453193909923,0.319,0.007,0,"0","Ctse"
"Rassf7",0,0.43409080692557,0.535,0.094,0,"0","Rassf7"
"Sema3b",0,0.430395582596266,0.422,0.075,0,"0","Sema3b"
"Plagl1",0,0.427019212346664,0.554,0.155,0,"0","Plagl1"
"St14",0,0.426042306421877,0.525,0.083,0,"0","St14"
"Nbeal1",0,0.423790721176844,0.731,0.306,0,"0","Nbeal1"
"Cd14",0,0.423116693201079,0.445,0.079,0,"0","Cd14"
"Kcnk1",0,0.416677715867109,0.484,0.068,0,"0","Kcnk1"
"Arfgef1",0,0.415767953982689,0.638,0.222,0,"0","Arfgef1"
"Scnn1a",0,0.410768243144156,0.457,0.093,0,"0","Scnn1a"
"Ddr1",0,0.408907186615982,0.513,0.106,0,"0","Ddr1"
"Adss",0,0.407647821633143,0.669,0.248,0,"0","Adss"
"Uap1l1",0,0.407173690806378,0.509,0.119,0,"0","Uap1l1"
"Rbm47",0,0.404923281605196,0.561,0.151,0,"0","Rbm47"
"Npnt",0,0.398309798671772,0.816,0.257,0,"0","Npnt"
"Pts",0,0.389854008699061,0.692,0.263,0,"0","Pts"
"Il17re",0,0.385208084380291,0.458,0.055,0,"0","Il17re"
"Rasgef1b",0,0.383351278864233,0.461,0.069,0,"0","Rasgef1b"
"Rab3d",0,0.383250563696496,0.494,0.102,0,"0","Rab3d"
"Eif1a",0,0.381244409175038,0.682,0.263,0,"0","Eif1a"
"F11r",0,0.379321539610595,0.584,0.18,0,"0","F11r"
"Mpzl2",0,0.379247265479223,0.413,0.021,0,"0","Mpzl2"
"Ptprf",0,0.378495985582897,0.85,0.38,0,"0","Ptprf"
"Pof1b",0,0.376242902377108,0.416,0.027,0,"0","Pof1b"
"Ormdl2",0,0.368515221909395,0.625,0.201,0,"0","Ormdl2"
"Tmem98",0,0.366821257645156,0.54,0.13,0,"0","Tmem98"
"5730559C18Rik",0,0.365998025686296,0.408,0.023,0,"0","5730559C18Rik"
"Mboat1",0,0.364547098123307,0.435,0.052,0,"0","Mboat1"
"Tmem54",0,0.364046815170818,0.321,0.009,0,"0","Tmem54"
"Prss8",0,0.362637408211844,0.56,0.168,0,"0","Prss8"
"Cldn23",0,0.361730492427382,0.327,0.017,0,"0","Cldn23"
"Ppfibp2",0,0.35966239738194,0.501,0.117,0,"0","Ppfibp2"
"Gsta1",0,0.356216115284587,0.249,0.004,0,"0","Gsta1"
"Arrdc1",0,0.35340592580138,0.644,0.233,0,"0","Arrdc1"
"Rnf128",0,0.352573683148282,0.35,0.017,0,"0","Rnf128"
"Arhgap22",0,0.346162309504625,0.332,0.031,0,"0","Arhgap22"
"Fnbp1l",0,0.345637837287447,0.699,0.285,0,"0","Fnbp1l"
"Iyd",0,0.345193683520185,0.309,0.025,0,"0","Iyd"
"Bex4",0,0.337714078939866,0.913,0.36,0,"0","Bex4"
"Mlph",0,0.335765817731,0.363,0.035,0,"0","Mlph"
"Pygb",0,0.335353516164667,0.495,0.119,0,"0","Pygb"
"Arhgef28",0,0.333326054776833,0.409,0.063,0,"0","Arhgef28"
"Mecom",0,0.329069415046483,0.636,0.235,0,"0","Mecom"
"Rab15",0,0.3281953398012,0.463,0.095,0,"0","Rab15"
"Eya2",0,0.321044984056804,0.389,0.038,0,"0","Eya2"
"Epb41l4b",0,0.31850746698192,0.391,0.037,0,"0","Epb41l4b"
"Nbl1",0,0.31497660581318,0.7,0.289,0,"0","Nbl1"
"Nipal2",0,0.313186328971232,0.412,0.062,0,"0","Nipal2"
"Plekhb2",0,0.311226199151149,0.47,0.106,0,"0","Plekhb2"
"Sphk1",0,0.310179154242403,0.347,0.027,0,"0","Sphk1"
"Sdcbp2",0,0.30821978856176,0.32,0.014,0,"0","Sdcbp2"
"Igsf5",0,0.308032512355738,0.418,0.068,0,"0","Igsf5"
"Myo5b",0,0.307444533468602,0.397,0.058,0,"0","Myo5b"
"Esrp1",0,0.303277670859014,0.418,0.059,0,"0","Esrp1"
"Cobl",0,0.298594598760709,0.397,0.064,0,"0","Cobl"
"Chmp4c",0,0.298529773230016,0.347,0.025,0,"0","Chmp4c"
"Tjp3",0,0.296837170071482,0.371,0.042,0,"0","Tjp3"
"Zfp703",0,0.296495130880774,0.449,0.099,0,"0","Zfp703"
"Ptgds",0,0.294700413033514,0.318,0.026,0,"0","Ptgds"
"Slc45a3",0,0.291884462492643,0.319,0.011,0,"0","Slc45a3"
"Paqr5",0,0.290665523054572,0.303,0.017,0,"0","Paqr5"
"Shtn1",0,0.289216273707076,0.42,0.065,0,"0","Shtn1"
"Galnt3",0,0.285182146859541,0.365,0.037,0,"0","Galnt3"
"Wnt7b",0,0.280010095088609,0.339,0.033,0,"0","Wnt7b"
"AI661453",0,0.271948168594523,0.344,0.036,0,"0","AI661453"
"Arhgef16",0,0.269351450604567,0.351,0.039,0,"0","Arhgef16"
"Efna5",0,0.268645813711706,0.331,0.033,0,"0","Efna5"
"Ajuba",0,0.267157150898923,0.497,0.123,0,"0","Ajuba"
"Tjp1",0,0.250908076414338,0.697,0.303,0,"0","Tjp1"
"Jup",0,0.220293503610928,0.806,0.393,0,"0","Jup"
"Vtcn1",0,0.210512240422928,0.251,0.005,0,"0","Vtcn1"
"S100a16",0,-0.120184538646812,0.832,0.428,0,"0","S100a16"
"Celf2",0,-0.179575223998404,0.64,0.411,0,"0","Celf2"
"Map1lc3a",0,-0.548420174682642,0.795,0.777,0,"0","Map1lc3a"
"Marcks",0,-0.559147496001029,0.561,0.498,0,"0","Marcks"
"Oaz2",0,-0.675472340718979,0.685,0.786,0,"0","Oaz2"
"Btg1",0,-0.704978326658451,0.632,0.734,0,"0","Btg1"
"Aldh2",0,-0.738046647085981,0.393,0.635,0,"0","Aldh2"
"Cd200",0,-0.744436859119158,0.073,0.41,0,"0","Cd200"
"Cnn3",0,-0.780341114173438,0.462,0.5,0,"0","Cnn3"
"Tcf4",0,-0.78062576172989,0.379,0.523,0,"0","Tcf4"
"Eng",0,-0.817721197240609,0.024,0.332,0,"0","Eng"
"Mef2c",0,-0.843683901147776,0.026,0.394,0,"0","Mef2c"
"Selm",0,-0.854835744576613,0.075,0.385,0,"0","Selm"
"Fbn1",0,-0.907145746171787,0.026,0.336,0,"0","Fbn1"
"Emp3",0,-0.910669840683932,0.089,0.435,0,"0","Emp3"
"Cd36",0,-0.922125500640067,0.08,0.406,0,"0","Cd36"
"Col6a1",0,-0.923968062927935,0.061,0.43,0,"0","Col6a1"
"Ifitm2",0,-0.928531397739306,0.67,0.742,0,"0","Ifitm2"
"Socs2",0,-0.956459676723952,0.292,0.593,0,"0","Socs2"
"Cald1",0,-1.02967178683832,0.579,0.574,0,"0","Cald1"
"Nrep",0,-1.03447792596745,0.48,0.652,0,"0","Nrep"
"Gm13889",0,-1.0643916762602,0.03,0.348,0,"0","Gm13889"
"Zeb2",0,-1.07666514787832,0.033,0.426,0,"0","Zeb2"
"Cd34",0,-1.10619766576205,0.026,0.342,0,"0","Cd34"
"Sfta2",0,-1.122992474335,0.353,0.363,0,"0","Sfta2"
"Sept4",0,-1.17587683585614,0.054,0.386,0,"0","Sept4"
"Mylk",0,-1.18764418081587,0.094,0.41,0,"0","Mylk"
"Foxf1",0,-1.1970335020536,0.028,0.371,0,"0","Foxf1"
"Rarres2",0,-1.2063922928549,0.025,0.358,0,"0","Rarres2"
"Sparcl1",0,-1.2765767657443,0.037,0.404,0,"0","Sparcl1"
"Hmcn1",0,-1.27835786461017,0.064,0.407,0,"0","Hmcn1"
"Ifitm3",0,-1.29411679194834,0.439,0.647,0,"0","Ifitm3"
"Napsa",0,-1.30490102043382,0.304,0.394,0,"0","Napsa"
"Cxcl15",0,-1.32229692089754,0.581,0.388,0,"0","Cxcl15"
"Gng11",0,-1.36996916211644,0.082,0.433,0,"0","Gng11"
"Apoe",0,-1.38950910588286,0.063,0.452,0,"0","Apoe"
"Fstl1",0,-1.40359214064577,0.222,0.488,0,"0","Fstl1"
"Igfbp4",0,-1.44834230512638,0.063,0.458,0,"0","Igfbp4"
"Mdk",0,-1.53196485526704,0.092,0.386,0,"0","Mdk"
"Myl9",0,-1.63563616397662,0.062,0.366,0,"0","Myl9"
"Mfap2",0,-1.74070910608733,0.046,0.545,0,"0","Mfap2"
"Bgn",0,-1.83506981519832,0.13,0.431,0,"0","Bgn"
"Col1a1",0,-1.98204182901383,0.076,0.379,0,"0","Col1a1"
"Col1a2",0,-2.18165534773451,0.073,0.409,0,"0","Col1a2"
"Lgals1",0,-2.19340340588374,0.451,0.53,0,"0","Lgals1"
"Col3a1",0,-2.27531508593974,0.082,0.419,0,"0","Col3a1"
"Acta2",0,-2.32720682131082,0.063,0.366,0,"0","Acta2"
"Vim",0,-2.3287940861132,0.109,0.668,0,"0","Vim"
"Eln",0,-3.20403969140077,0.239,0.594,0,"0","Eln"
"2310030G06Rik",4.44659081257122e-323,0.29155082288002,0.46,0.108,1.24495649570369e-318,"0","2310030G06Rik"
"Plscr1",4.94065645841247e-323,0.265795584481053,0.479,0.133,1.38328499522632e-318,"0","Plscr1"
"Plb1",1.58101006669199e-322,0.448326192831777,0.357,0.044,4.42651198472423e-318,"0","Plb1"
"Tagln",2.29246459670338e-321,-1.95183464695338,0.039,0.335,6.41844237785013e-317,"0","Tagln"
"Ptrf",7.66295816699773e-321,0.394292075262862,0.879,0.485,2.14547502759603e-316,"0","Ptrf"
"Loxl1",1.30532143631257e-320,-1.07996941759384,0.049,0.315,3.65463895738794e-316,"0","Loxl1"
"Nfib",1.36016272300095e-320,-0.479045981786671,0.8,0.632,3.80818359185806e-316,"0","Nfib"
"Sectm1b",8.81166079357863e-320,0.319630079983278,0.233,0.004,2.46708878898615e-315,"0","Sectm1b"
"Ocln",1.47493417252987e-319,0.332777400009488,0.425,0.084,4.12952069624914e-315,"0","Ocln"
"Igsf9",5.47508726751894e-319,0.226906575868673,0.255,0.01,1.53291493315995e-314,"0","Igsf9"
"Tbc1d9",1.64645400214012e-318,0.279353476093992,0.318,0.033,4.60974191519191e-314,"0","Tbc1d9"
"Tmbim1",1.81285531165945e-318,0.373594298003385,0.708,0.295,5.07563230158413e-314,"0","Tmbim1"
"Ppl",4.58041343340378e-318,0.255392094094553,0.365,0.057,1.28242415308439e-313,"0","Ppl"
"Tspan1",4.77804463239674e-318,0.534856086563601,0.459,0.099,1.33775693617844e-313,"0","Tspan1"
"Cers3",4.81892362393364e-318,0.211557865102496,0.252,0.009,1.34920223622894e-313,"0","Cers3"
"Pacsin2",5.19390956781423e-318,0.307870793561267,0.586,0.203,1.45419080079663e-313,"0","Pacsin2"
"Tmem40",7.51151222457802e-318,0.206658707007931,0.247,0.008,2.10307319263735e-313,"0","Tmem40"
"Clic5",7.69221179388799e-318,0.740329922947131,0.584,0.183,2.15366545805276e-313,"0","Clic5"
"Spink4",7.69638664859535e-318,0.686190884120079,0.244,0.007,2.15483433387373e-313,"0","Spink4"
"1110008L16Rik",1.50278613518288e-317,0.28401941049547,0.322,0.033,4.20750062128503e-313,"0","1110008L16Rik"
"Traf4",1.66067419955872e-317,0.292273969583179,0.536,0.166,4.64955562392451e-313,"0","Traf4"
"Mpzl3",2.19148548374377e-317,0.22706559128533,0.264,0.012,6.1357210573858e-313,"0","Mpzl3"
"Myo1d",4.54704918034012e-317,0.281667068695692,0.481,0.129,1.27308282951163e-312,"0","Myo1d"
"Tspan13",1.30934574921764e-316,-0.408122602939792,0.538,0.298,3.66590622865956e-312,"0","Tspan13"
"Ncmap",3.27795377353161e-316,0.204470144775367,0.245,0.007,9.17761497513381e-312,"0","Ncmap"
"Cyb561",7.82256913709375e-316,0.180042978167141,0.481,0.159,2.19016290700351e-311,"0","Cyb561"
"Abca3",1.49829317630945e-315,-0.5581694604074,0.365,0.35,4.19492123503119e-311,"0","Abca3"
"Ptpn14",1.50249242303774e-315,0.2839509091418,0.417,0.088,4.20667828602107e-311,"0","Ptpn14"
"2900026A02Rik",1.82531247040547e-315,0.265196849047997,0.405,0.086,5.11050985464122e-311,"0","2900026A02Rik"
"Pllp",1.52832039784819e-314,0.270766434543303,0.351,0.061,4.27899144989537e-310,"0","Pllp"
"Mt2",7.72735630480013e-314,0.792420270273293,0.629,0.223,2.16350521821794e-309,"0","Mt2"
"Slc44a3",2.09478598366319e-313,0.287325536377327,0.406,0.076,5.86498179706019e-309,"0","Slc44a3"
"Vegfa",4.37772333411071e-313,0.885410299153289,0.569,0.183,1.22567497908432e-308,"0","Vegfa"
"Cox17",4.44083549942146e-313,0.473040295745708,0.921,0.599,1.24334512312802e-308,"0","Cox17"
"F2rl1",4.44789319125373e-313,0.23117264656433,0.307,0.031,1.24532113568722e-308,"0","F2rl1"
"Anxa11",1.10837442430241e-312,0.322724708259097,0.588,0.203,3.10322671316187e-308,"0","Anxa11"
