"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ccdc80.6",1.67951038665576e-15,-0.310107437962738,0.008,0.156,4.7022931805588e-11,"6","Ccdc80"
"Myl9.5",1.68793496333069e-15,-1.14062979220996,0.094,0.269,4.72588031033327e-11,"6","Myl9"
"Tgfbi.6",1.76382856881373e-15,-1.26286995630382,0.067,0.222,4.93836722696468e-11,"6","Tgfbi"
"Spice1",1.89128504030896e-15,0.220011296605901,0.165,0.051,5.29521985585702e-11,"6","Spice1"
"Krtap17-1",1.98053583877408e-15,0.216727566558645,0.118,0.016,5.54510424139966e-11,"6","Krtap17-1"
"Ass1.2",2.0417719783248e-15,0.242461094403727,0.177,0.041,5.71655318491376e-11,"6","Ass1"
"Golim4.4",2.05921756798064e-15,-0.37325633299504,0.205,0.441,5.7653973468322e-11,"6","Golim4"
"Myadm.5",2.06495877937201e-15,-0.357804128435979,0.154,0.38,5.78147159048574e-11,"6","Myadm"
"Wwc1.5",2.18650554057881e-15,0.362298674620131,0.551,0.314,6.12177821251257e-11,"6","Wwc1"
"Pisd",2.20548304084281e-15,0.291421730970236,0.39,0.188,6.1749114177517e-11,"6","Pisd"
"Rcn1.6",2.43866159072407e-15,-0.403402081028541,0.118,0.302,6.82776472170926e-11,"6","Rcn1"
"Col5a1.6",2.58039788458899e-15,-0.483224386755604,0.028,0.193,7.22459799727224e-11,"6","Col5a1"
"Eif4e2.2",2.59404977070789e-15,-0.331897613991496,0.335,0.525,7.26282054802795e-11,"6","Eif4e2"
"Col6a2.6",2.72544968615628e-15,-0.527585840724684,0.063,0.234,7.63071403130034e-11,"6","Col6a2"
"Apbb1.4",2.74720158290587e-15,0.259231564455021,0.37,0.155,7.69161499181984e-11,"6","Apbb1"
"Sh3bgrl.4",2.81483632716653e-15,-0.520776886231138,0.366,0.56,7.88097874880084e-11,"6","Sh3bgrl"
"Lpcat1.6",2.81850120860417e-15,-0.785729757374443,0.228,0.364,7.89123968384997e-11,"6","Lpcat1"
"Rab11fip4",2.82911471981041e-15,0.137056174327241,0.102,0.019,7.9209553925252e-11,"6","Rab11fip4"
"Slc25a37",2.87620635907895e-15,0.18576949084284,0.205,0.055,8.05280256414923e-11,"6","Slc25a37"
"Enpp2.1",2.91938140609741e-15,0.278011278270605,0.22,0.062,8.17368406079153e-11,"6","Enpp2"
"Acvrl1.6",2.99748723757391e-15,-0.508293751220385,0.016,0.165,8.39236476775944e-11,"6","Acvrl1"
"Ripk4.5",3.02034724696883e-15,0.231390819467525,0.252,0.117,8.45636822206333e-11,"6","Ripk4"
"Phf20l1.2",3.05311344676434e-15,0.357092866024448,0.5,0.337,8.54810702825081e-11,"6","Phf20l1"
"Smpdl3a.6",3.21510173667409e-15,0.335242514645814,0.555,0.316,9.00164184234011e-11,"6","Smpdl3a"
"Lysmd2.6",3.22697797773581e-15,-0.321760809976933,0.043,0.212,9.03489294206472e-11,"6","Lysmd2"
"Gm8730.2",3.65445992636737e-15,-0.398019999212831,0.398,0.618,1.02317569018434e-10,"6","Gm8730"
"Plscr2.5",3.68625925861183e-15,0.303416384375396,0.264,0.116,1.03207886722614e-10,"6","Plscr2"
"Creb5.6",3.71876609390226e-15,-0.328556224493849,0.012,0.162,1.04118013097075e-10,"6","Creb5"
"Dst.5",3.96130244667481e-15,-0.409883023134242,0.114,0.324,1.10908545902001e-10,"6","Dst"
"Tmed9.4",4.14077385201892e-15,-0.353300942824763,0.618,0.734,1.15933386308826e-10,"6","Tmed9"
"Grb10.5",4.19732636218069e-15,-0.42960289760454,0.154,0.364,1.17516743488335e-10,"6","Grb10"
"Tmpo.6",4.20304491385165e-15,-0.433724494568432,0.256,0.445,1.17676851498018e-10,"6","Tmpo"
"Casz1.5",4.31476498128963e-15,0.332862961493229,0.445,0.223,1.20804789946147e-10,"6","Casz1"
"Snrpn.2",4.53648660218428e-15,0.205068291976441,0.26,0.084,1.27012551887955e-10,"6","Snrpn"
"Tmem50a.5",4.54656534631382e-15,-0.364957857073443,0.512,0.697,1.27294736566094e-10,"6","Tmem50a"
"Aagab",4.59155683678008e-15,0.228870045809617,0.224,0.078,1.28554408316169e-10,"6","Aagab"
"Eif3i.4",4.91714918372674e-15,-0.351421390008921,0.492,0.651,1.37670342845981e-10,"6","Eif3i"
"Igf1.6",5.02873388852082e-15,-0.86994019395202,0.028,0.186,1.40794491410806e-10,"6","Igf1"
"Unc5b.5",5.12989686943823e-15,-0.243027583543629,0.02,0.174,1.43626852550532e-10,"6","Unc5b"
"Ppp1cc.4",5.13768746046385e-15,-0.362468111162617,0.366,0.58,1.43844973518067e-10,"6","Ppp1cc"
"Tmem14c.3",6.64838288623244e-15,-0.307184134438242,0.551,0.671,1.86141424048736e-10,"6","Tmem14c"
"F2r.5",6.67122870830595e-15,-0.46704100299175,0.11,0.317,1.8678106137515e-10,"6","F2r"
"Poc5",6.80424074677181e-15,0.219159379111004,0.181,0.054,1.90505132428117e-10,"6","Poc5"
"Adam19.3",6.87427463504432e-15,-0.307076639062265,0.035,0.184,1.92465941231971e-10,"6","Adam19"
"Hint2.4",7.42490822805185e-15,0.344814320217192,0.728,0.539,2.07882580568996e-10,"6","Hint2"
"Mxra7.5",7.46931521071558e-15,-0.388116519925772,0.039,0.214,2.09125887269615e-10,"6","Mxra7"
"Emilin1.6",7.57840125468412e-15,-0.317502130056886,0.02,0.17,2.12180078328646e-10,"6","Emilin1"
"Dbn1.5",7.67906633156326e-15,-0.323379641756343,0.024,0.183,2.14998499151108e-10,"6","Dbn1"
"Usp18",8.64365743241886e-15,0.219531978103798,0.161,0.037,2.42005120792863e-10,"6","Usp18"
"Ctse.6",9.00858799776136e-15,-0.18414177421935,0,0.115,2.52222446761323e-10,"6","Ctse"
"Cldn5.6",9.31574548016322e-15,-1.64548143833337,0.063,0.167,2.6082224195361e-10,"6","Cldn5"
"Hspe1.5",9.4417097630315e-15,-0.343878391531102,0.701,0.803,2.64348989945356e-10,"6","Hspe1"
"Ifitm2.6",9.72254312476112e-15,-0.628799874048396,0.591,0.721,2.72211762407062e-10,"6","Ifitm2"
"Kdr.6",9.73736381695263e-15,-0.272753143388295,0.146,0.104,2.7262671214704e-10,"6","Kdr"
"Ssr1.6",1.03027730504929e-14,-0.348945098459501,0.311,0.514,2.88457039867701e-10,"6","Ssr1"
"Pdzk1ip1.6",1.03865491219875e-14,-0.59390214270138,0.264,0.383,2.90802602317405e-10,"6","Pdzk1ip1"
"Stx7.4",1.04613509528121e-14,-0.348318073325548,0.256,0.479,2.92896903976833e-10,"6","Stx7"
"Ostc.4",1.09878971387838e-14,-0.353145267578094,0.492,0.657,3.07639144091668e-10,"6","Ostc"
"B230217C12Rik",1.14280590765849e-14,0.165978419000601,0.114,0.016,3.19962798026224e-10,"6","B230217C12Rik"
"Sdpr.4",1.14841127734606e-14,-0.638062287221218,0.437,0.567,3.21532189431351e-10,"6","Sdpr"
"Loxl2.6",1.17153981046628e-14,-0.571776985808441,0.039,0.202,3.28007716134348e-10,"6","Loxl2"
"Plxnd1.4",1.20663142750609e-14,-0.225437838911875,0.008,0.148,3.37832667073155e-10,"6","Plxnd1"
"Srsf3.5",1.29504176517122e-14,-0.344578342048038,0.76,0.846,3.62585793412638e-10,"6","Srsf3"
"Npnt.6",1.33355435730306e-14,-0.680465193058869,0.272,0.45,3.73368548957711e-10,"6","Npnt"
"Lekr1",1.39010625396532e-14,0.212665886593566,0.185,0.054,3.8920194898521e-10,"6","Lekr1"
"Odc1.5",1.45023495662928e-14,0.3573200602696,0.567,0.367,4.06036783157065e-10,"6","Odc1"
"Klhdc7a",1.4870647674294e-14,0.15175281686338,0.118,0.037,4.16348393584883e-10,"6","Klhdc7a"
"Slc35a2",1.5039603717024e-14,0.275080792573761,0.315,0.133,4.21078824869239e-10,"6","Slc35a2"
"Fndc3b.5",1.60011572249022e-14,-0.328773623517212,0.146,0.364,4.48000399982812e-10,"6","Fndc3b"
"Smc6.4",1.69032542556064e-14,-0.365916937334354,0.24,0.451,4.73257312648468e-10,"6","Smc6"
"Postn.6",1.71887966669612e-14,-0.968873144393846,0.024,0.179,4.8125192908158e-10,"6","Postn"
