,GSD
GENIE3,0.606450336367234
GRISLI,0.5510981400870598
GRNBOOST2,0.6096161456272259
GRNVBEM,0.5646764938662445
LEAP,0.6316778789077958
PIDC,0.6367233874159082
PPCOR,0.5956915314602295
SCINGE,0.6010833003561535
SCNS,0.5683369608231104
SCODE,0.5728136129798179
SCTENIFOLDNET,0.6471111990502573
SINCERITIES,0.556242580134547
