,GSD
GENIE3,0.29206855148404326
GRISLI,0.28068383713393835
GRNBOOST2,0.28972763432533283
GRNVBEM,0.2552708065648581
LEAP,0.3125259010048618
PIDC,0.322473569393016
PPCOR,0.3116614173877869
SCINGE,0.2764040535617374
SCNS,0.2490584064805419
SCODE,0.27833958733333247
SCTENIFOLDNET,0.29366578097899315
SINCERITIES,0.23907651540824293
