ZDHHC17
CHL1
ABHD17B
RCHY1
STMN2
TJP1
NRBP2
LY6H
SMARCD1
RHBDD2
NDFIP1
MARK2
ICAM5
FAM92A
RGL1
GMCL1
DAAM1
FXR1
