CELF2
CO2
CYTB
GRIA2
CO3
CO1
ATP6
MALAT1
ND2
ND1
NDRG4
ND4
RPS19
MEG3
MEIS2
ATP1B1
PBX1
COX7C
SNHG11
DCLK1
SHISA8
CKB
ATP2B1
GAD1
RSRP1
COX4I1
PTPRO
AKAP7
SLC6A17
TCF4
TENM1
RPS28
