PPP3CA
HPCA
PCP4L1
ANO3
CELF2
ATP2A2
PPP1R9A
PPP1R1B
SPOCK3
ARPP19
UBB
ARPP21
RGS9
BCL11B
EIF1
GPR88
TMSB4X
PENK
CALM2
COX6C
ND1
COX6B1
COX7B
PPIA
NDUFA4
USMG5
ARPC2
CKB
CHCHD2
COX6A1
SYT11
PDE10A
ND4
DGKB
TTC3
ACTB
NRXN3
COX7C
ATP5J2
ATP5G1
NDUFB9
ATPIF1
