PAIP2
RNASEK
PTGIS
CBR3
CYBA
EHD2
DGCR6L
ZC3H7A
ITGB5
DPT
KDELR1
ITGAE
JUND
COPZ2
MT2A
NIPBL
C4ORF48
FOS
CO3
