GAD1
GRIA2
PBX1
INPP5J
PTPRO
MALAT1
ATP1B1
NDRG4
MEIS2
CAMK2B
CELF2
NRXN3
CALM2
SHISA8
PRKCA
COX7C
RPS8
COX4I1
DCLK1
UBB
RPS19
CKB
ITM2B
GPSM1
RPS27A
