HPCA
PPP3CA
PCP4L1
AKAP5
RGS7BP
ATP2A2
SLC24A2
FOXP1
ATP2B1
SPOCK3
PPP1R1B
ADCY5
RGS9
ARPP19
GPR88
ACTB
UBB
CALM2
PHACTR1
RNR1
PENK
ARPP21
GNAL
CCK
EIF1
