RPS12
RPL13
RPS18
RPS19
RPS14
RPL13A
TPT1
RPL27A
RPS6
RPS9
RPL12
RPL28
RPL11
RPS4X
RPL6
SERF2
RPL3
RPL10
RPL26
COL1A1
RPL15
EEF1A1
NEAT1
GNB2L1
EEF2
COL1A2
RPS3A
FTL
RPLP1
RPL18A
