GRIA2
GAD1
PBX1
INPP5J
PTPRO
MALAT1
MEIS2
ATP1B1
NDRG4
CAMK2B
NRXN3
CELF2
CALM2
SHISA8
COX7C
PRKCA
RPS8
DCLK1
COX4I1
RPS19
CKB
UBB
ITM2B
GPSM1
