SCN4B
PCP4L1
PPP1R9A
ATP2B1
PHACTR1
HPCA
FOXP1
ANO3
PPP1R1B
ADCY5
PDE10A
DGKB
ARPP21
GNAL
RASD2
GPR88
RNR2
CHN1
CAMK4
CADM2
ARPP19
PPP3CA
