RPLP1
RPS19
SERF2
RPL13
RPS12
RPL18A
RPS18
RPL28
RPS15A
RPL13A
TPT1
RPS14
RPL27A
COL1A1
RPS4X
RPL11
RPL12
RPS9
EEF1A1
RPS6
RPL10
RPL6
RPL10A
RPL3
RPS3A
SELM
GNB2L1
NUPR1
FTL
RPL26
RPL15
