RPL3
RPS6
RPL13A
RPS14
RPS12
RPL15
RPS4X
RPS15A
RPLP1
RPS18
EEF1A1
RPL10
RPL18A
SELM
RPL19
RPL11
RPS9
RPS19
NUPR1
RPL27A
RPL13
RPL12
RPL6
SERF2
NEAT1
RPS27
RPL32
TPT1
COL1A1
RPS3A
RPL28
RPL10A
FTH1
