RPL3
RPL13A
RPLP1
RPS6
RPS14
EEF1A1
RPL6
RPL15
RPS4X
RPS12
RPL10A
RPS15A
RPS18
RPL10
RPL13
RPL18A
RPL27A
GNB2L1
RPS3A
RPS19
RPS9
SELM
TPT1
RPL12
RPL11
RPL28
NUPR1
FTL
COL1A2
RPL26
RPL19
EEF2
