MALAT1
MEG3
ATP6
CO3
CO2
CYTB
CO1
CELF2
RSRP1
NDRG4
ND2
GRIA2
ND1
ND4
ND3
PBX1
DCLK1
ATP1B1
SNHG11
ATP2B1
ITM2B
MEIS2
RPS19
CAMK2B
FTH1
PISD
PTPRO
MBP
PCP4
SHISA8
