"q","nCells","accLB","acc","accUB","recallLB","recall","recallUB"
0.65,10,0.611,0.655,0.699,0.224,0.243,0.262
0.65,50,0.779,0.808,0.837,0.27,0.286,0.302
0.65,100,0.841,0.873,0.905,0.292,0.3,0.308
0.65,500,0.889,0.912,0.935,0.312,0.318,0.324
0.65,1000,0.915,0.921,0.927,0.31,0.323,0.336
0.65,2000,0.922,0.929,0.936,0.315,0.32,0.325
0.65,3000,0.928,0.931,0.934,0.312,0.319,0.326
0.7,10,0.618,0.662,0.706,0.205,0.22,0.235
0.7,50,0.791,0.819,0.847,0.247,0.258,0.269
0.7,100,0.849,0.882,0.915,0.264,0.274,0.284
0.7,500,0.904,0.925,0.946,0.266,0.279,0.292
0.7,1000,0.921,0.934,0.947,0.276,0.282,0.288
0.7,2000,0.93,0.935,0.94,0.282,0.291,0.3
0.7,3000,0.934,0.938,0.942,0.279,0.287,0.295
0.75,10,0.62,0.669,0.718,0.187,0.2,0.213
0.75,50,0.804,0.83,0.856,0.217,0.228,0.239
0.75,100,0.862,0.892,0.922,0.23,0.238,0.246
0.75,500,0.913,0.932,0.951,0.24,0.248,0.256
0.75,1000,0.934,0.941,0.948,0.235,0.246,0.257
0.75,2000,0.942,0.949,0.956,0.236,0.244,0.252
0.75,3000,0.94,0.948,0.956,0.235,0.246,0.257
0.8,10,0.626,0.679,0.732,0.157,0.17,0.183
0.8,50,0.816,0.845,0.874,0.185,0.195,0.205
0.8,100,0.877,0.905,0.933,0.196,0.206,0.216
0.8,500,0.922,0.943,0.964,0.197,0.209,0.221
0.8,1000,0.944,0.951,0.958,0.206,0.216,0.226
0.8,2000,0.952,0.957,0.962,0.212,0.217,0.222
0.8,3000,0.949,0.956,0.963,0.204,0.212,0.22
0.85,10,0.644,0.697,0.75,0.129,0.142,0.155
0.85,50,0.838,0.866,0.894,0.154,0.163,0.172
0.85,100,0.891,0.92,0.949,0.158,0.17,0.182
0.85,500,0.935,0.953,0.971,0.166,0.176,0.186
0.85,1000,0.954,0.961,0.968,0.172,0.178,0.184
0.85,2000,0.96,0.965,0.97,0.172,0.177,0.182
0.85,3000,0.958,0.962,0.966,0.17,0.177,0.184
0.9,10,0.668,0.721,0.774,0.102,0.11,0.118
0.9,50,0.857,0.889,0.921,0.116,0.124,0.132
0.9,100,0.909,0.934,0.959,0.121,0.131,0.141
0.9,500,0.94,0.959,0.978,0.131,0.136,0.141
0.9,1000,0.96,0.968,0.976,0.131,0.136,0.141
0.9,2000,0.966,0.969,0.972,0.132,0.137,0.142
0.9,3000,0.964,0.968,0.972,0.132,0.138,0.144
0.95,10,0.71,0.764,0.818,0.06,0.067,0.074
0.95,50,0.905,0.926,0.947,0.072,0.079,0.086
0.95,100,0.933,0.955,0.977,0.078,0.082,0.086
0.95,500,0.961,0.974,0.987,0.084,0.088,0.092
0.95,1000,0.972,0.979,0.986,0.086,0.089,0.092
0.95,2000,0.973,0.98,0.987,0.088,0.091,0.094
0.95,3000,0.975,0.98,0.985,0.083,0.09,0.097
1,10,1,1,1,0.02,0.02,0.02
1,50,1,1,1,0.02,0.02,0.02
1,100,1,1,1,0.02,0.02,0.02
1,500,1,1,1,0.02,0.02,0.02
1,1000,1,1,1,0.02,0.02,0.02
1,2000,1,1,1,0.02,0.02,0.02
1,3000,1,1,1,0.02,0.02,0.02
