"q","nCells","accLB","acc","accUB","recallLB","recall","recallUB"
0.65,10,0.603,0.651,0.699,0.225,0.246,0.267
0.65,50,0.806,0.826,0.846,0.306,0.317,0.328
0.65,100,0.851,0.865,0.879,0.319,0.326,0.333
0.65,500,0.908,0.927,0.946,0.334,0.347,0.36
0.65,1000,0.913,0.941,0.969,0.349,0.357,0.365
0.65,2000,0.923,0.947,0.971,0.35,0.359,0.368
0.65,3000,0.939,0.949,0.959,0.339,0.35,0.361
0.7,10,0.608,0.658,0.708,0.199,0.217,0.235
0.7,50,0.815,0.833,0.851,0.26,0.274,0.288
0.7,100,0.86,0.872,0.884,0.277,0.284,0.291
0.7,500,0.913,0.931,0.949,0.29,0.303,0.316
0.7,1000,0.921,0.947,0.973,0.292,0.305,0.318
0.7,2000,0.932,0.953,0.974,0.303,0.315,0.327
0.7,3000,0.942,0.954,0.966,0.295,0.309,0.323
0.75,10,0.614,0.664,0.714,0.173,0.188,0.203
0.75,50,0.822,0.838,0.854,0.229,0.239,0.249
0.75,100,0.863,0.878,0.893,0.238,0.246,0.254
0.75,500,0.92,0.936,0.952,0.251,0.262,0.273
0.75,1000,0.927,0.952,0.977,0.255,0.266,0.277
0.75,2000,0.944,0.961,0.978,0.258,0.266,0.274
0.75,3000,0.953,0.962,0.971,0.254,0.267,0.28
0.8,10,0.621,0.673,0.725,0.142,0.157,0.172
0.8,50,0.836,0.849,0.862,0.19,0.201,0.212
0.8,100,0.867,0.882,0.897,0.196,0.202,0.208
0.8,500,0.926,0.942,0.958,0.205,0.215,0.225
0.8,1000,0.932,0.956,0.98,0.211,0.22,0.229
0.8,2000,0.95,0.966,0.982,0.211,0.22,0.229
0.8,3000,0.955,0.966,0.977,0.217,0.224,0.231
0.85,10,0.639,0.686,0.733,0.113,0.125,0.137
0.85,50,0.843,0.857,0.871,0.149,0.158,0.167
0.85,100,0.875,0.891,0.907,0.156,0.164,0.172
0.85,500,0.93,0.946,0.962,0.161,0.174,0.187
0.85,1000,0.94,0.963,0.986,0.173,0.179,0.185
0.85,2000,0.955,0.972,0.989,0.168,0.176,0.184
0.85,3000,0.966,0.974,0.982,0.175,0.181,0.187
0.9,10,0.657,0.701,0.745,0.088,0.097,0.106
0.9,50,0.844,0.861,0.878,0.109,0.116,0.123
0.9,100,0.88,0.898,0.916,0.113,0.119,0.125
0.9,500,0.936,0.953,0.97,0.115,0.126,0.137
0.9,1000,0.943,0.969,0.995,0.12,0.129,0.138
0.9,2000,0.961,0.976,0.991,0.118,0.129,0.14
0.9,3000,0.971,0.982,0.993,0.131,0.136,0.141
