"q","nCells","accLB","acc","accUB","recallLB","recall","recallUB"
0.65,10,0.505,0.532,0.559,0.278,0.312,0.346
0.65,50,0.555,0.579,0.603,0.229,0.29,0.352
0.65,100,0.578,0.591,0.604,0.27,0.308,0.346
0.65,500,0.629,0.639,0.649,0.362,0.398,0.434
0.65,1000,0.7,0.709,0.718,0.134,0.147,0.159
0.65,2000,0.669,0.679,0.689,0.046,0.052,0.057
0.65,3000,0.645,0.656,0.668,-0.085,0.093,0.27
0.7,10,0.518,0.542,0.567,0.272,0.298,0.324
0.7,50,0.558,0.581,0.604,0.228,0.271,0.315
0.7,100,0.578,0.592,0.606,0.27,0.308,0.346
0.7,500,0.629,0.639,0.649,0.362,0.398,0.434
0.7,1000,0.7,0.709,0.718,0.134,0.147,0.159
0.7,2000,0.669,0.679,0.689,0.046,0.052,0.057
0.7,3000,0.645,0.656,0.668,-0.085,0.093,0.27
0.75,10,0.537,0.56,0.582,0.25,0.274,0.298
0.75,50,0.568,0.595,0.623,0.228,0.271,0.315
0.75,100,0.586,0.601,0.616,0.27,0.308,0.346
0.75,500,0.629,0.639,0.649,0.362,0.398,0.434
0.75,1000,0.7,0.709,0.718,0.134,0.147,0.159
0.75,2000,0.669,0.679,0.689,0.046,0.052,0.057
0.75,3000,0.645,0.656,0.668,-0.085,0.093,0.27
0.8,10,0.543,0.569,0.594,0.219,0.232,0.246
0.8,50,0.578,0.609,0.64,0.18,0.225,0.27
0.8,100,0.592,0.608,0.624,0.27,0.308,0.346
0.8,500,0.629,0.639,0.649,0.362,0.398,0.434
0.8,1000,0.7,0.709,0.718,0.134,0.147,0.159
0.8,2000,0.669,0.679,0.689,0.046,0.052,0.057
0.8,3000,0.645,0.656,0.668,-0.085,0.093,0.27
0.85,10,0.561,0.583,0.605,0.163,0.178,0.193
0.85,50,0.586,0.618,0.649,0.166,0.2,0.234
0.85,100,0.613,0.633,0.654,0.191,0.215,0.239
0.85,500,0.629,0.639,0.649,0.362,0.398,0.434
0.85,1000,0.7,0.709,0.718,0.134,0.147,0.159
0.85,2000,0.669,0.679,0.689,0.046,0.052,0.057
0.85,3000,0.645,0.656,0.668,-0.085,0.093,0.27
0.9,10,0.57,0.6,0.629,0.119,0.129,0.139
0.9,50,0.621,0.658,0.695,0.128,0.15,0.172
0.9,100,0.623,0.652,0.681,0.13,0.164,0.198
0.9,500,0.629,0.639,0.649,0.362,0.398,0.434
0.9,1000,0.7,0.709,0.718,0.134,0.147,0.159
0.9,2000,0.669,0.679,0.689,0.046,0.052,0.057
0.9,3000,0.645,0.656,0.668,-0.085,0.093,0.27
0.95,10,0.62,0.643,0.666,0.065,0.07,0.076
0.95,50,0.657,0.707,0.757,0.074,0.079,0.085
0.95,100,0.685,0.714,0.743,0.073,0.081,0.09
0.95,500,0.733,0.76,0.786,0.081,0.095,0.11
