"q","nCells","accLB","acc","accUB","recallLB","recall","recallUB"
0.65,10,0.526,0.544,0.562,0.201,0.213,0.225
0.65,50,0.627,0.673,0.719,0.298,0.314,0.33
0.65,100,0.676,0.722,0.768,0.341,0.372,0.403
0.65,500,0.861,0.884,0.907,0.545,0.573,0.601
0.65,1000,0.91,0.924,0.938,0.604,0.625,0.646
0.65,2000,0.932,0.948,0.964,0.65,0.671,0.692
0.65,3000,0.952,0.964,0.976,0.662,0.684,0.706
0.7,10,0.529,0.547,0.565,0.174,0.19,0.206
0.7,50,0.635,0.679,0.723,0.262,0.275,0.288
0.7,100,0.689,0.736,0.783,0.306,0.334,0.362
0.7,500,0.87,0.895,0.92,0.487,0.513,0.539
0.7,1000,0.922,0.936,0.95,0.547,0.558,0.569
0.7,2000,0.942,0.96,0.978,0.584,0.595,0.606
0.7,3000,0.963,0.974,0.985,0.589,0.604,0.619
0.75,10,0.532,0.55,0.568,0.152,0.169,0.186
0.75,50,0.641,0.688,0.735,0.228,0.243,0.258
0.75,100,0.703,0.749,0.795,0.267,0.292,0.317
0.75,500,0.885,0.911,0.937,0.425,0.448,0.471
0.75,1000,0.937,0.952,0.967,0.47,0.486,0.502
0.75,2000,0.958,0.972,0.986,0.498,0.508,0.518
0.75,3000,0.97,0.983,0.996,0.509,0.517,0.525
0.8,10,0.534,0.554,0.574,0.126,0.146,0.166
0.8,50,0.647,0.696,0.745,0.196,0.211,0.226
0.8,100,0.721,0.767,0.813,0.228,0.25,0.272
0.8,500,0.896,0.924,0.952,0.358,0.372,0.386
0.8,1000,0.944,0.962,0.98,0.391,0.404,0.417
0.8,2000,0.968,0.98,0.992,0.41,0.421,0.432
0.8,3000,0.982,0.989,0.996,0.407,0.421,0.435
0.85,10,0.537,0.562,0.587,0.102,0.123,0.144
0.85,50,0.656,0.71,0.764,0.154,0.167,0.18
0.85,100,0.742,0.786,0.83,0.183,0.2,0.217
0.85,500,0.909,0.936,0.963,0.285,0.296,0.307
0.85,1000,0.954,0.973,0.992,0.308,0.315,0.322
0.85,2000,0.978,0.988,0.998,0.319,0.326,0.333
0.85,3000,0.987,0.995,1.003,0.322,0.329,0.336
0.9,10,0.549,0.579,0.609,0.079,0.097,0.115
0.9,50,0.671,0.726,0.781,0.115,0.126,0.137
0.9,100,0.767,0.806,0.845,0.137,0.149,0.161
0.9,500,0.937,0.957,0.977,0.205,0.213,0.221
0.9,1000,0.964,0.98,0.996,0.212,0.221,0.23
0.9,2000,0.984,0.993,1.002,0.222,0.227,0.232
0.9,3000,0.994,0.998,1.002,0.222,0.227,0.232
0.95,10,0.573,0.614,0.655,0.053,0.064,0.075
0.95,50,0.681,0.744,0.807,0.072,0.079,0.086
0.95,100,0.799,0.843,0.887,0.083,0.09,0.097
0.95,500,0.959,0.975,0.991,0.115,0.12,0.125
0.95,1000,0.974,0.99,1.006,0.116,0.123,0.13
0.95,2000,0.99,0.997,1.004,0.118,0.122,0.126
0.95,3000,1,1,1,0.119,0.124,0.129
1,10,0.984,0.992,1,0.02,0.02,0.02
1,50,0.996,0.999,1.002,0.02,0.02,0.02
1,100,0.992,0.998,1.004,0.02,0.02,0.02
1,500,1,1,1,0.02,0.02,0.02
1,1000,1,1,1,0.02,0.02,0.02
1,2000,1,1,1,0.02,0.02,0.02
1,3000,1,1,1,0.02,0.02,0.02
