"","X12.5","X13","X13.5","X14","X14.5","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
"Cre04.g224700",2.34322112896748,2.47426304725917,2.60230141714357,2.73493013006819,2.58302167138904,2.74970738385691,2.67524296589227,2.82332269762613,2.8693179944908,3.1760580056442,3.05191497501202,3.22280153200634,3.32936452301251,2.58137208969273,3.12675253654544
"Cre04.g229700",5.29384732284749,5.18056249918466,4.69060629297288,4.23332944433587,3.8849850216517,3.59151713075431,3.22001215527829,2.93217356155114,2.48760597659439,2.46737618548151,2.22353268404874,2.34354994573842,2.21313740999061,2.12412737015545,1.94198632511004
"Cre04.g230830",2.48518204273324,2.75804414438963,2.6162392449598,2.56930239885593,2.47824953031435,2.5960919526903,2.56846070501608,2.45249971305915,2.31418266877594,2.42684615505387,2.43388647014686,2.39512693359558,2.21283706769379,2.17568872340905,2.14923458468242
"Cre04.g230928",2.63802962491669,2.97717261303005,2.45362657370168,2.4274217276344,2.38177218214696,2.28744614518444,2.02753707585451,1.84394466395371,1.60035417888547,1.77904502090875,1.68253129260055,1.69101680017609,1.62982456032458,1.94838779493969,1.94367294875248
"Cre04.g231516",4.80367003982611,4.45702408746413,4.24451292578805,4.26075471955471,4.25909773620526,4.10988169423846,4.15236899826947,4.24904324014925,4.35661681378097,4.63567548478439,4.57878935403162,4.7650721728222,4.92394428756288,5.08712871008651,5.02221775713785
"Cre05.g231100",3.99939505430612,3.7661714164225,3.73278973225369,3.69457735705724,3.65855424255686,3.69052520206781,3.55991047606094,3.11431719923948,2.19885288757353,1.48500346334038,1.44685777990683,0.946784008993518,0.979148519257841,0.759926929656304,0.353126021484057
"Cre05.g232850",5.06687388656052,4.39059409328055,3.9948803701774,3.99927815053594,3.82153319331475,3.64795869848635,3.53649449390758,3.27003805225074,3.23621464132018,3.19277453552505,3.07712045779468,3.0089398030668,2.96572038775421,2.86636904030183,3.15926688582377
"Cre05.g232950",4.12307189057224,4.17429069950695,4.01684080861732,4.16744049448441,4.13098339143958,4.01586341908658,4.03471145692499,4.22150735839709,4.17703916020677,4.62602296696262,4.61895513440158,4.89344122748535,4.91393529240197,4.94123372737134,4.72405783256474
"Cre05.g233100",5.20442385081234,5.2319464949661,5.0353858842496,4.96504949059016,4.93411136592961,5.00309046601737,5.01060576455255,4.70551807758415,4.2307562786345,4.0629208474527,3.89603026610635,3.65003476547278,3.62658223565618,2.74545751982582,2.28710071971168
"Cre05.g234648",5.224668937876,5.04707657235037,5.4629223723479,5.2859700244906,5.22575367457388,5.08945720347495,4.94814777821639,5.03236616925656,4.83566027507707,4.58727564100835,4.54442845706776,4.26774316066112,4.18183260508826,4.35437227917364,4.0955985176535
"Cre05.g237350",3.56870923800497,3.49144535029879,3.61316794465186,3.78201371850765,3.92937373598256,3.75842294596044,3.7478138472948,3.9659207317791,3.97851670878727,4.13742974579891,3.99591886526345,4.08762037233681,4.10090599092358,4.15182542706057,4.07764597194839
"Cre05.g238332",10.538891499169,10.3053664281192,9.9898209866746,9.67627114159287,9.38918549537991,9.25749562640876,9.22718387562151,9.05986850788245,9.18195263074058,8.75123556902446,8.68191507574338,8.33964201900137,8.27264942084451,7.71496041028275,8.01466050369034
"Cre05.g242300",6.6978166968218,5.87839607734972,6.25306402443721,6.36387332859333,6.4293361640584,6.28403122799832,6.16894542461985,6.33027156166136,6.47049970587136,6.62400725500894,6.5611710491882,6.64604317941893,6.58378925721302,6.28772363722881,6.84945760576613
"Cre05.g243050",5.13002238125428,4.98984700802067,4.72714797069046,4.6237157034098,4.55346893733023,4.51569295239686,4.58297666521402,4.63753217820804,4.79744876841425,4.36316969756355,4.06493797289836,3.91322238102547,3.69242191528125,3.21513192995273,3.40072051774678
"Cre05.g244901",7.51267553914916,7.59440161237714,7.83433881659308,7.74896027239437,7.71599942962281,7.56615277619067,7.50483363993316,7.04651379062813,6.85033286422003,6.37192809486294,6.38903984848579,5.84663254125836,5.76177225025876,5.87609051951116,5.5262592838446
"Cre05.g245550",3.03542004983113,3.06875401608245,2.76529680596328,2.60711681261404,2.44249673009508,2.50181730800302,2.17385869132583,2.21202568631823,1.93795390825477,1.99495097201824,1.79948746716863,1.96894429805572,1.90439844811576,2.01129043612756,1.38181626499263
"Cre05.g245900",5.77043803958424,5.32492474143259,5.72108136065049,5.935872575223,5.9603556070845,5.83989046581642,5.91475387082629,6.04495205693787,6.05295639148718,6.05944501305213,6.04666824033366,6.12729967866526,6.08178760620732,6.13027667300359,6.23069446534033
"Cre06.g249250",9.84368713432982,10.3865210945297,10.7603872078633,11.0145726250014,11.2395143940132,11.387168724489,11.5057674957036,11.3837624391103,11.346274278219,11.039763735315,11.1087239929133,10.8240269620582,10.7773426754903,10.8460890244154,10.5168128941244
"Cre06.g250100",4.10243813932917,4.58301162561127,5.19023637689682,5.29416380675941,5.38598616418797,5.30267984488087,5.21503509340706,5.30029927713612,5.3815363819792,5.46132926005184,5.46837026799908,5.48992409404727,5.59549241278956,5.40904578888014,6.07919996972039
"Cre06.g250750",4.75840018014825,4.56092416879128,4.55013258108125,4.60573119059701,4.60652361998139,4.37514674697456,4.40367256615402,4.66916908303515,4.87531422193473,4.811839804147,4.7040506559466,4.87156669067742,4.83927327488672,4.72317482109824,4.7386855068706
"Cre06.g250950",6.56596187078545,6.25160567076087,6.21741575984554,6.11489518047866,6.09131164584331,6.05656662380018,5.89046488161464,5.75230702838289,5.49838807376915,5.1638441311339,5.03011882732048,4.78833139389211,4.58694019916985,4.36640678380743,4.45199046674791
"Cre06.g251600",5.38965589889064,5.10929545160986,5.42728623010529,5.5401141234278,5.50157313155215,5.46440699506021,5.36126262376318,5.65295753248018,5.86933294356938,6.16181925991285,6.1160224345136,6.46618229865206,6.65859989179445,6.46840061792326,6.60181776720268
"Cre06.g251750",6.35018265821101,5.90219038408059,5.47577160555032,5.33866558572449,5.15736584319418,4.96203997848553,5.03581480179354,4.49841156962708,3.36897808004756,2.86121224587165,2.63416891070236,2.04464313667262,1.96124831711872,1.58444936001273,0.500018033462594
"Cre06.g252200",4.92788618532041,4.53049373355734,5.17115834128859,5.25236155959953,5.32440931570985,5.23031130019011,5.16384497309416,5.28680247840292,5.21803366902242,5.2246431724871,5.1675646585871,5.19943849540083,5.0483180502698,4.72234052086151,4.86628162581336
