"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X11.5","X12"
"Cre01.g002200",6.77625908186962,6.65625759565392,6.28979913753667,5.39946170246814,4.92269721109211,5.08053973310614,4.8963577532174,5.12412843769666,5.55220986779144,6.31947855780057,6.516717585392,6.62347111313363,6.66985553082815
"Cre01.g002350",2.70186700009912,3.14299097739766,2.82082936761753,2.9544173796566,3.00872692337094,3.11813264495025,3.2917938394159,3.70304823747389,3.84739476705687,4.24278425673775,4.274357308634,4.01733805754817,4.11347705058495
"Cre01.g003376",6.54753509432152,5.63505823980528,4.98175980603988,3.98364310687386,3.86986924629374,4.21291164059701,4.23240175666198,4.14241910453854,4.1512736780044,4.14733506983788,4.09049883261932,3.96816997376963,3.86519957351476
"Cre01.g007051",10.0072852560094,10.2663606312528,9.95902822401588,9.833331579916,9.88014035432959,9.68297427015495,9.48337262905676,9.39469156280757,9.53952742238943,9.44865936453153,9.57705104845546,9.82354319930623,9.91679931495966
"Cre01.g008000",1.23832693425104,2.1505494309206,2.19523479513058,1.89038181309554,2.15479365431278,2.06817035104562,2.20817465217397,2.34565541011315,2.54361684456711,3.13560310733435,3.3994819834793,3.30800362223328,3.49086297768072
"Cre01.g010848",4.76270829338172,5.29721247259728,5.19420946155231,5.0824958444014,5.04704132431995,4.88047725904615,4.66997442541254,4.03965910546754,3.37429636132675,2.92988267534581,3.14424785015193,3.35246778941221,3.17065479613753
"Cre01.g011350",3.1627987139594,3.39915294689174,3.19359337151459,2.87248148402984,2.97498442174972,2.85665132443436,2.79801957067928,2.82197425965141,3.14905310157053,3.32444804382173,3.58194819235086,3.58203118809161,3.52847354122742
"Cre01.g012450",2.44904321473309,2.14761465459043,2.36884338070493,2.53708250838249,2.43599572902604,2.7188302678881,2.6551353373493,2.99989201521085,3.17214529051599,3.56410586368768,3.52172999992853,3.41261869538123,3.3776919721411
"Cre01.g012500",5.55178109145831,5.13070387843563,4.90252528359531,4.94995621364018,5.27483720340031,5.46707478717416,5.61994405657931,5.7376610159981,5.62437245395055,5.92304542375861,6.30128360944396,6.4221708454905,6.37871829287249
"Cre01.g013300",3.39048113093775,3.39946967484819,3.49451317460037,3.51273147777583,3.28156685955634,3.61791148415143,3.64422293348341,3.95779343370334,4.07606939528271,4.35244905100179,4.22191586175835,4.10221719981094,3.96140760772784
"Cre01.g015550",1.30844230632467,1.99782275642593,2.1520160054501,2.58574113565601,2.53487041406985,2.77148589525782,2.82735696239871,2.98061891637531,3.19993297496129,3.32935709790166,3.23399836818815,3.13633635182036,2.89094762371935
"Cre01.g016050",5.65688596748409,5.14618264632461,5.34073319790564,5.3026483810141,5.0027514627184,5.30971329174443,5.46572971040718,5.83610651635716,5.91798669213867,6.29737427163227,6.21530019709799,6.05023871546956,6.00448054768496
